product_id,name,category,current_price,original_price,currency,source,url,stock_status,timestamp
S012,Samsung Galaxy A15 128Go 4Go RAM,Smartphones,1690,1690,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=Galaxy+A15,En Stock,2026-09-20T09:05:00
S013,Xiaomi Redmi Note 13 128Go 6Go RAM,Smartphones,2099,2399,DH,Jumia,https://www.jumia.ma/catalog/?q=Redmi+Note+13,En Stock,2026-09-20T09:00:00
S014,Xiaomi Redmi Note 13 128Go 6Go RAM,Smartphones,2190,2390,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=Redmi+Note+13,En Stock,2026-09-20T09:05:00
S015,Apple iPhone 15 128Go,Smartphones,9990,10990,DH,Jumia,https://www.jumia.ma/catalog/?q=iPhone+15,En Stock,2026-09-20T09:00:00
S016,Apple iPhone 15 128Go,Smartphones,10490,10490,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=iPhone+15,En Stock,2026-09-20T09:05:00
S017,Samsung Galaxy S24 256Go,Smartphones,8999,9999,DH,Jumia,https://www.jumia.ma/catalog/?q=Galaxy+S24,En Stock,2026-09-20T09:00:00
S018,Oppo A18 64Go 4Go RAM,Smartphones,1199,1399,DH,Jumia,https://www.jumia.ma/catalog/?q=Oppo+A18,En Stock,2026-09-20T09:00:00
S019,Oppo A18 64Go 4Go RAM,Smartphones,1249,1249,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=Oppo+A18,Rupture,2026-09-20T09:05:00
S020,Infinix Hot 40i 128Go 4Go RAM,Smartphones,1099,1299,DH,Jumia,https://www.jumia.ma/catalog/?q=Infinix+Hot+40i,En Stock,2026-09-20T09:00:00
S021,Tecno Spark 20 128Go 8Go RAM,Smartphones,1349,1549,DH,Jumia,https://www.jumia.ma/catalog/?q=Tecno+Spark+20,En Stock,2026-09-20T09:00:00
S022,Samsung Refrigerateur 2 portes 340L No Frost,Électroménager,5299,5999,DH,Jumia,https://www.jumia.ma/catalog/?q=Samsung+refrigerateur+340L,En Stock,2026-09-20T09:00:00
S023,Samsung Refrigerateur 2 portes 340L No Frost,Électroménager,5190,5190,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=Samsung+refrigerateur+340L,En Stock,2026-09-20T09:05:00
S024,LG Refrigerateur combine 384L Inverter,Électroménager,6499,7299,DH,Jumia,https://www.jumia.ma/catalog/?q=LG+refrigerateur+combine+384L,En Stock,2026-09-20T09:00:00
S025,LG Refrigerateur combine 384L Inverter,Électroménager,6390,6990,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=LG+refrigerateur+combine+384L,En Stock,2026-09-20T09:05:00
S026,Beko Refrigerateur simple porte 250L,Électroménager,2899,3299,DH,Jumia,https://www.jumia.ma/catalog/?q=Beko+refrigerateur+250L,En Stock,2026-09-20T09:00:00
S027,Whirlpool Lave-linge 7kg 1200 tours,Électroménager,3499,3999,DH,Jumia,https://www.jumia.ma/catalog/?q=Whirlpool+lave-linge+7kg,En Stock,2026-09-20T09:00:00
S028,Whirlpool Lave-linge 7kg 1200 tours,Électroménager,3390,3390,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=Whirlpool+lave-linge+7kg,En Stock,2026-09-20T09:05:00
S029,Samsung Micro-ondes 23L Solo,Électroménager,899,1099,DH,Jumia,https://www.jumia.ma/catalog/?q=Samsung+micro-ondes+23L,En Stock,2026-09-20T09:00:00
S030,Samsung Micro-ondes 23L Solo,Électroménager,949,949,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=Samsung+micro-ondes+23L,En Stock,2026-09-20T09:05:00
S031,Samsung TV LED 43 pouces Crystal UHD 4K,TV & Audio,3799,4299,DH,Jumia,https://www.jumia.ma/catalog/?q=Samsung+TV+43+Crystal+UHD,En Stock,2026-09-20T09:00:00
S032,Samsung TV LED 43 pouces Crystal UHD 4K,TV & Audio,3690,3990,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=Samsung+TV+43+Crystal+UHD,En Stock,2026-09-20T09:05:00
S033,LG TV LED 55 pouces UHD 4K Smart,TV & Audio,5499,6499,DH,Jumia,https://www.jumia.ma/catalog/?q=LG+TV+55+UHD,En Stock,2026-09-20T09:00:00
S034,LG TV LED 55 pouces UHD 4K Smart,TV & Audio,5290,5290,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=LG+TV+55+UHD,En Stock,2026-09-20T09:05:00
S035,TCL TV LED 32 pouces HD Smart,TV & Audio,1699,1999,DH,Jumia,https://www.jumia.ma/catalog/?q=TCL+TV+32+HD,En Stock,2026-09-20T09:00:00
S036,JBL Flip 6 Enceinte Bluetooth,TV & Audio,1199,1399,DH,Jumia,https://www.jumia.ma/catalog/?q=JBL+Flip+6,En Stock,2026-09-20T09:00:00
S037,JBL Flip 6 Enceinte Bluetooth,TV & Audio,1290,1290,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=JBL+Flip+6,En Stock,2026-09-20T09:05:00
S038,Sony Casque WH-CH520 Bluetooth,TV & Audio,599,699,DH,Jumia,https://www.jumia.ma/catalog/?q=Sony+WH-CH520,En Stock,2026-09-20T09:00:00
S039,Adidas Sneakers Grand Court Homme,Mode,549,699,DH,Jumia,https://www.jumia.ma/catalog/?q=Adidas+Grand+Court,En Stock,2026-09-20T09:00:00
S040,Adidas Sneakers Grand Court Homme,Mode,599,599,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=Adidas+Grand+Court,En Stock,2026-09-20T09:05:00
S041,Nike T-shirt Dri-FIT Homme,Mode,299,349,DH,Jumia,https://www.jumia.ma/catalog/?q=Nike+Dri-FIT+T-shirt,En Stock,2026-09-20T09:00:00
S042,Levi's Jean 501 Original Homme,Mode,899,999,DH,Jumia,https://www.jumia.ma/catalog/?q=Levis+501,En Stock,2026-09-20T09:00:00
S043,Casio Montre Vintage A158WA,Mode,249,299,DH,Jumia,https://www.jumia.ma/catalog/?q=Casio+A158WA,En Stock,2026-09-20T09:00:00
S044,Casio Montre Vintage A158WA,Mode,269,269,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=Casio+A158WA,En Stock,2026-09-20T09:05:00
S045,Puma Sac a dos Phase Noir,Mode,199,249,DH,Jumia,https://www.jumia.ma/catalog/?q=Puma+Phase+Backpack,En Stock,2026-09-20T09:00:00
S046,  Asus Vivobook 15 Core i3 8Go 256Go SSD  ,Informatique,"4 099,00 DH",4499,DH,marjane mall,https://www.marjanemall.ma/catalogsearch/result/?q=Asus+Vivobook+15,En Stock,2026-09-20T09:05:00
S047,Samsung Galaxy S24 256Go,Smartphones,,9999,DH,MarjaneMall,https://www.marjanemall.ma/catalogsearch/result/?q=Galaxy+S24,En Stock,2026-09-20T09:05:00
S048,,Informatique,2599,2599,DH,Jumia,https://www.jumia.ma/catalog/?q=unknown,En Stock,2026-09-20T09:00:00
S049,Samsung Galaxy A15 128Go 4Go RAM,Smartphones,1599,1899,DH,jumia,https://www.jumia.ma/catalog/?q=Galaxy+A15,En Stock,2026-09-20T09:00:00
S050,TCL TV LED 32 pouces HD Smart,TV & Audio,"1 749 Dhs",1999,DH,MARJANEMALL,https://www.marjanemall.ma/catalogsearch/result/?q=TCL+TV+32+HD,En Stock,2026-09-20T09:05:00
